Query,Questions,Ground truth,Unnamed: 3,LLM+RAG+Name
194,apakah di informasinya kita belajar buat program,"Berkuliah di Informatika akan belajar mengenai pengembangan perangkat lunak, bahasa pemrograman seperti PHP, HMTL, CSS, Javascript, Java, maupun Python. Belajar pengembangan web, pengembangan sistem cerdas, sistem informasi, serta jaringan komputer. Masih banyak hal lain juga yang dipelajari di Informatika UHN I Gusti Bagus Sugriwa Denpasar yang berguna untuk mengembangkan teknologi, dan membantu masyarakat",Belajar apa?,"Halo! Senang bertemu denganmu di UHN I Gusti Bagus Sugriwa. Pertanyaanmu sangat tepat – ya, di mata kuliah Pengenalan Pemrograman ini, kamu *akan* belajar membuat program sebenarnya!

Kuliah ini dirancang untuk mengajakmu langsung berinteraksi dengan kode. Kamu akan mulai dari dasar-dasar seperti cara menyusun instruksi sederhana menggunakan bahasa pemrograman yang dipilih (biasanya Python atau Java), lalu belajar bagaimana membuat program yang bisa melakukan tugas-tugas konkret.

Beberapa hal yang pasti akan kamu pelajari:

*  **Dasar-dasar penulisan kode:** Cara menulis baris perintah, menyimpan data dalam variabel, dan menjalankan program.
*  **Struktur kontrol:** Belajar menggunakan pernyataan `if-else` untuk keputusan dan `for/while` untuk perulangan agar program bisa bekerja sesuai logika tertentu.
*  **Fungsi:** Memecah kode menjadi bagian-bagian kecil yang lebih mudah dikelola.
*  **Debug"
195,Apa saja yang di jurusan informatika ,"Informatika di UHN Sugriwa adalah program studi yang menghasilkan lulusan yang mampu menciptakan perangkat lunak, aplikasi bidang AI, atau teknologi lainnya, atau disebut juga Lulusan bisa bekerja sebagai AI Engineer, Software Engineer, Asisten Peneliti. Sehingga bisa membantu mempermudah kehidupan atau pekerjaan masyarakat.",Profil,"Halo! Senang sekali Anda tertarik dengan Program Studi Informatika di Universitas Hindu Indonesia (UHN) I Gusti Bagus Sugriwa. Sebagai mahasiswa di sana, Anda akan mempelajari dasar-dasar ilmu komputer yang sangat penting untuk masa depan.

Di Jurusan Informatika UHN, Anda akan mengambil mata kuliah inti seperti Algoritma dan Struktur Data, Sistem Operasi, Basis Data, Pemrograman Web, Jaringan Komputer, serta Bahasa Pemrograman seperti Python, Java, dan C++. Selain itu, Anda juga akan belajar tentang keamanan siber, analisis data, dan pemrosesan bahasa alami – bidang-bidang yang sedang berkembang pesat saat ini.

Kurikulum kami dirancang agar Anda tidak hanya mahir dalam teori, tetapi juga mampu menerapkannya dalam proyek nyata. Misalnya, Anda bisa membuat aplikasi mobile, sistem informasi manajemen, atau berkontribusi dalam penelitian terkini. Kami juga sering mengadakan kerjasama dengan industri untuk memberikan Anda kesempatan mag"
197,peluang kerja saja untuk lulusan informatika,"Setelah lulus, Setelah lulus dari Prodi Informatika UHN I Gusti Bagus Sugriwa Denpasar, bisa bekerja sebagai AI Engineer, Software Engineer, Asisten Peneliti, atau instruktur IT. Bisa bekerja pada berbagai bidang usaha, baik kesehatan, pemerintahan, pendidikan, Bank, e-commerce, pariwisata, atau software house, dan lain sebagainya.",Bidang Kerja,"Selamat datang di Program Studi Informatika Universitas Hindu Indonesia (UHN) I Gusti Bagus Sugriwa! Senang sekali Anda tertarik dengan peluang karir setelah menyelesaikan studi. Berdasarkan informasi yang Anda berikan, ada beberapa jalur karir yang sangat potensial bagi lulusan Informatika dari universitas kami:

**1. Pengembangan Perangkat Lunak dan Kecerdasan Buatan (AI):**
  - **Software Engineer:** Membuat dan memelihara aplikasi perangkat lunak untuk berbagai industri seperti fintech, e-commerce, atau sistem manajemen.
  - **AI Engineer:** Mengembangkan solusi AI untuk analisis data, otomatisasi proses bisnis, atau kecerdasan buatan generatif.

**2. Pendidikan dan Penelitian:**
  - **Instruktur/Pengajar:** Melanjutkan pendidikan ke jenjang pascasarjana (S2/S3) untuk mengajar di perguruan tinggi atau lembaga pendidikan lainnya.
  - **Asisten Peneliti:** Terlibat dalam penelitian di bid"
199,sejarah kenapa ada 2 kampus di uhn ,"Kampus di Denpasar untuk mengakomodasi mahasiswa yang berada di Denpasar atau sekitarnya, dan kampus pusat di Bangli untuk mengakomodasi mahasiswa dari Bangli atau Bali Timur. Keduanya berbeda, Kampus Denpasar ada di tengah Kota, kampus Bangli sejuk dan dingin.",Profil,"Selamat datang di Kampus UHN I Gusti Bagus Sugriwa! Senang sekali Anda mengunjungi kami.

Mengenai pertanyaan Anda tentang sejarah keberadaan dua kampus – Denpasar dan Bangli – mari kita bahas sedikit. Universitas Hindu Negeri (UHN) I Gusti Bagus Sugriwa memulai perjalanannya sebagai sebuah perguruan tinggi swasta pada tahun 1980-an. Awalnya, fokus utama kami adalah pendidikan vokasi, terutama bidang teknik dan informatika. Seiring waktu, universitas ini berkembang pesat dan akhirnya menjadi universitas negeri pada tahun 2006.

Keputusan untuk memiliki dua lokasi kampus didasari oleh beberapa faktor penting:

1. **Pertumbuhan Mahasiswa:** Jumlah mahasiswa yang semakin banyak, terutama dari wilayah Bali Timur seperti Bangli, membuat diperlukan ruang belajar yang lebih luas.
2. **Aksesibilitas:** Lokasi Denpasar menawarkan kemudahan akses bagi mahasiswa dari seluruh Bali dan luar pul"
201,Apa saja materi yang di ajarkan di prodi informatika ,"Berkuliah di Informatika akan belajar mengenai pengembangan perangkat lunak, bahasa pemrograman seperti PHP, HMTL, CSS, Javascript, Java, maupun Python. Belajar pengembangan web, pengembangan sistem cerdas, sistem informasi, serta jaringan komputer. Masih banyak hal lain juga yang dipelajari di Informatika UHN I Gusti Bagus Sugriwa Denpasar yang berguna untuk mengembangkan teknologi, dan membantu masyarakat",Belajar apa?,"Halo! Selamat datang di Program Studi Informatika Universitas Harapan Negeri (UHN) I Gusti Bagus Sugriwa. Senang sekali Anda menanyakan mengenai mata kuliah yang kami tawarkan.

Mata kuliah **Jaringan Komputer** memang merupakan salah satu mata kuliah wajib yang dipelajari mahasiswa Semester 1. Materinya meliputi:

*  **Arsitektur Jaringan:** Memahami struktur dasar sistem jaringan.
*  **Model OSI & TCP/IP:** Konsep penting untuk memahami cara data ditransmisikan antar perangkat.
*  **Protokol Jaringan:** Jenis-jenis protokol yang digunakan dalam komunikasi data.
*  **Pengalamatan IP:** Cara identifikasi alamat unik setiap perangkat di jaringan.
*  **Routing:** Teknik penentuan jalur terbaik untuk data dalam jaringan.
*  **Keamanan Jaringan:** Perlindungan dari ancaman siber.

Selain itu, selama studi di UHN I Gusti Bagus Sugriwa, Anda juga akan"
203,Apa saja yang ada di jurusan informatika ,"Informatika di UHN Sugriwa adalah program studi yang menghasilkan lulusan yang mampu menciptakan perangkat lunak, aplikasi bidang AI, atau teknologi lainnya, atau disebut juga Lulusan bisa bekerja sebagai AI Engineer, Software Engineer, Asisten Peneliti. Sehingga bisa membantu mempermudah kehidupan atau pekerjaan masyarakat.",Profil,"Halo! Senang bertemu dengan Anda sebagai calon mahasiswa di Program Studi Informatika Universitas Harapan Nusa (UHN) I Gusti Bagus Sugriwa.

Program Studi Informatika di UHN menawarkan kurikulum komprehensif yang dirancang untuk membekali Anda dengan fondasi kuat dalam ilmu komputer dan teknologi informasi. Berikut adalah mata kuliah inti dan fokus utama yang biasanya terdapat dalam program ini:

**Mata Kuliah Inti:**

*  **Dasar-Dasar Pemrograman:** Pengenalan bahasa pemrograman seperti Python, Java, atau C++, serta konsep dasar algoritma dan struktur data.
*  **Jaringan Komputer:** Memahami prinsip kerja jaringan, protokol komunikasi, dan infrastruktur internet.
*  **Basis Data:** Pengetahuan tentang sistem manajemen basis data relasional dan non-relasional, termasuk SQL dan desain database.
*  **Sistem Operasi:** Konsep dasar operasi sistem, manajemen file, dan interaksi antara aplikasi dan hardware.
*"
204,Informatika belajar tentang apa aja sih?,"Berkuliah di Informatika akan belajar mengenai pengembangan perangkat lunak, bahasa pemrograman seperti PHP, HMTL, CSS, Javascript, Java, maupun Python. Belajar pengembangan web, pengembangan sistem cerdas, sistem informasi, serta jaringan komputer. Masih banyak hal lain juga yang dipelajari di Informatika UHN I Gusti Bagus Sugriwa Denpasar yang berguna untuk mengembangkan teknologi, dan membantu masyarakat",Belajar apa?,"Halo! Selamat datang di Program Studi Informatika Universitas Hindu Negeri (UHN) I Gusti Bagus Sugriwa!

Jawabannya, informatika itu mempelajari banyak hal yang berhubungan dengan teknologi digital dan sistem komputer. Secara singkatnya, kita akan belajar bagaimana membuat program komputer bekerja, merancang aplikasi, mengelola data, serta menjaga keamanan di dunia maya.

Beberapa bidang utama yang akan kamu pelajari antara lain:

1. **Pemrograman**: Menguasai bahasa pemrograman seperti Python, Java, atau C++ untuk membuat perintah yang bisa dipahami komputer.
2. **Algoritma & Struktur Data**: Belajar cara menyelesaikan masalah menggunakan langkah-langkah logis dan menyimpan data secara efisien.
3. **Jaringan Komputer**: Memahami cara komputer terhubung satu sama lain melalui internet dan intranet.
4. **Basis Data**: Mengelola dan menganalisis data besar dengan database seperti MySQL atau MongoDB.
5. **Keamanan Siber**: Mel"
205,Materi apa yang paling menarik?,"Berkuliah di Informatika akan belajar mengenai pengembangan perangkat lunak, bahasa pemrograman seperti PHP, HMTL, CSS, Javascript, Java, maupun Python. Belajar pengembangan web, pengembangan sistem cerdas, sistem informasi, serta jaringan komputer. Masih banyak hal lain juga yang dipelajari di Informatika UHN I Gusti Bagus Sugriwa Denpasar yang berguna untuk mengembangkan teknologi",Belajar apa?,"Halo! Selamat datang di Program Studi Informatika UHN I Gusti Bagus Sugriwa. Wah, senang sekali Anda tertarik dengan mata kuliah pilihan di semester 7! Semuanya terlihat sangat menarik, tapi mari kita coba bedah satu per satu.

Berdasarkan materi yang dijelaskan, beberapa mata kuliah ini punya potensi yang luar biasa:

1. **Pemrosesan Bahasa Alami (NLP)**: Jika Anda suka berkomunikasi dengan orang lain dan ingin membuat robot atau AI yang lebih pintar memahami bahasa manusia, mata kuliah ini cocok banget. Bayangkan bisa bikin chatbot yang bisa ngobrol santai atau menerjemahkan bahasa daerah!

2. **Data Science**: Kalau Anda suka menganalisis tren dan mencari pola, mata kuliah ini akan membantu Anda belajar cara mengubah data mentah menjadi informasi berharga. Bisa digunakan untuk bisnis, riset, atau bahkan prediksi cuaca!

3. **Digital Forensic**: Untuk yang suka teknologi dan juga tertarik dengan dun"
206,Lulusan prodi informatika bisa kerja dimana?,"Setelah lulus, Setelah lulus dari Prodi Informatika UHN I Gusti Bagus Sugriwa Denpasar, bisa bekerja sebagai AI Engineer, Software Engineer, Asisten Peneliti, atau instruktur IT. Bisa bekerja pada berbagai bidang usaha, baik kesehatan, pemerintahan, pendidikan, Bank, e-commerce, pariwisata, atau software house, dan lain sebagainya.",Bidang Kerja,"Selamat datang di Program Studi Informatika Universitas Hindu Indonesia (UHN) I Gusti Bagus Sugriwa! Senang sekali Anda tertarik dengan peluang karir setelah lulus. Berdasarkan informasi yang Anda berikan, ada beberapa pilihan menarik yang bisa Anda pertimbangkan:

1. **Pengembangan Perangkat Lunak dan Kecerdasan Buatan (AI):** Lulusan kita sangat cocok untuk peran sebagai *Software Engineer* atau *AI Engineer*. Di era digital seperti sekarang, permintaan akan tenaga ahli di bidang ini terus meningkat. Kita fokus mengasah kemampuan pemrograman, analisis data, dan pemahaman algoritma agar siap menghadapi tantangan di industri.

2. **Instruktur dan Peneliti:** Jika Anda memiliki minat mendalam dalam dunia teknologi, Anda bisa menjadi instruktur di lembaga pendidikan atau asisten peneliti di universitas atau perusahaan riset. Kami membekali mahasiswa dengan dasar-dasar penelitian yang kuat melalui mata kuliah dan kegiatan laboratorium.

3. **"
207,Kalau jurusan informatika itu belajar apa aja?,"Berkuliah di Informatika akan belajar mengenai pengembangan perangkat lunak, bahasa pemrograman seperti PHP, HMTL, CSS, Javascript, Java, maupun Python. Belajar pengembangan web, pengembangan sistem cerdas, AI, sistem informasi, basis data, jaringan komputer. Masih banyak hal lain juga yang dipelajari di Informatika UHN I Gusti Bagus Sugriwa Denpasar yang berguna untuk mengembangkan teknologi dan membantu masyarakat",Belajar apa?,"Halo! Selamat datang di Program Studi Informatika Universitas Negeri (UHN) I Gusti Bagus Sugriwa. Senang sekali Anda tertarik untuk mengetahui lebih lanjut mengenai mata kuliah yang akan dipelajari.

Program Studi Informatika di UHN IGBS dirancang untuk memberikan pemahaman mendalam tentang ilmu komputer dan aplikasinya dalam berbagai bidang. Berikut adalah gambaran umum mata kuliah yang biasanya diajarkan:

**Mata Kuliah Wajib:**

*  **Pemrograman Dasar:** Pengenalan bahasa pemrograman seperti Python, Java, atau C++, serta konsep dasar struktur data dan algoritma.
*  **Struktur Data dan Algoritma:** Pembelajaran tentang cara menyimpan dan memproses data secara efisien menggunakan struktur data seperti array, linked list, dan tree.
*  **Basis Data:** Pemahaman tentang sistem manajemen basis data relasional dan non-relasional, termasuk SQL dan desain database.
*  **Jaringan Komputer:** Konsep dasar jaring"
208,Plus dan minus belajar informatika apa aja?,"Informatika memberikan dampak sosial berupa kemudahan komunikasi, akses informasi yang cepat, dan peningkatan kolaborasi. Namun, terdapat juga tantangan seperti penyebaran informasi palsu, ketergantungan teknologi, pelanggaran privasi, serta kesenjangan digital antara kelompok masyarakat yang memiliki akses teknologi dan yang tidak.",Manfaat dan Keuntungan,"Halo! Senang sekali Anda tertarik dengan Program Studi Informatika di UHN I Gusti Bagus Sugriwa. Sebagai seseorang yang sudah mengenal program ini, izinkan saya berbagi pandangan tentang plus dan minus belajar informatika, khususnya dalam konteks pendidikan kita.

**Kelebihan (Plus):**

1. **Peluang Karir yang Luas:** Di era digital seperti sekarang, permintaan akan tenaga ahli IT sangat tinggi. Lulusan informatika bisa bekerja di berbagai bidang – mulai dari pengembangan aplikasi, riset ilmiah, hingga menjadi data scientist. Bahkan, banyak alumni kami berhasil menduduki posisi strategis di perusahaan-perusahaan besar atau bahkan membangun startup sendiri.
2. **Pengembangan Keterampilan Teknis yang Kuat:** Kamu akan mempelajari dasar-dasar pemrograman, algoritma, jaringan komputer, dan teknologi terkini seperti *machine learning* dan *big data*. Kemampuan ini sangat berguna untuk menciptakan solusi inovatif dan menyelesaikan"
209,"Saya nggak bisa buat aplikasi, susah ya?","Berkuliah di Informatika akan belajar dari dasar mengenai pengembangan perangkat lunak, bahasa pemrograman, serta hal-hal lainnya. Dosen akan membimbing mahasiswa hingga menguasai materi perkuliahan. Hal yang paling diperlukan adalah kemauan dan semangat untuk belajar. Apabila mahasiswa mengalami kesulitan dapat berdiskusi dengan dosen maupun senior.",Susah tidak,"Halo! Selamat datang di Prodi Informatika UHN I Gusti Bagus Sugriwa. Saya mengerti Anda merasa kesulitan membuat aplikasi – itu wajar kok, banyak yang merasakan hal serupa saat baru belajar.

Jangan khawatir, kita semua pernah melewati fase ini. Di sini, kami punya beberapa cara untuk membantu:

1. **Bimbingan dari Dosen dan Asisten:** Kami memiliki dosen yang siap membantu dengan materi dasar pemrograman seperti Python atau Java, dan asisten yang bisa menjawab pertanyaan sehari-hari.
2. **Praktikum Terstruktur:** Kita punya praktikum rutin yang fokus pada pembuatan aplikasi sederhana. Misalnya, aplikasi catatan sederhana atau kalkulator, yang akan membantu Anda membangun kepercayaan diri.
3. **Kelompok Belajar:** Bergabunglah dengan kelompok belajar teman-teman lain. Berdiskusi bersama bisa sangat membantu!
4. **Laboratorium Komputer:** Laboratorium kami dilengkapi dengan komputer dan software"
210,jurusan apa yang bisa di pilih jika kita memilih informatika ,"jurusan yang bisa dipilih adalah Program Studi Informatika, selain itu program studi lain dibidang teknologi adalah Desain Komunikasi Visual, dan Sains Informasi",Profil,"Halo! Senang sekali Anda tertarik dengan Program Studi Informatika di Universitas Hindu Indonesia (UHN) I Gusti Bagus Sugriwa Denpasar.

Jawabannya sederhana: **Informatika**. Jurusan ini akan membuka banyak pintu bagi karir yang menarik, seperti AI Engineer, Software Engineer, Instruktur, Asisten Peneliti, atau bahkan bidang-bidang lainnya seperti Web Development, Mobile App Development, Database Administration, IT Consulting, Sistem Analisis, dan Data Science. 

Kurikulum kami dirancang agar relevan dengan perkembangan teknologi terkini, sekaligus tetap menghargai nilai-nilai budaya Bali. Hal ini membuat lulusan kami siap untuk bersaing baik di industri, dunia akademis, maupun dalam bidang riset.

Apakah ada aspek spesifik dari jurusan Informatika yang ingin Anda ketahui lebih lanjut? Atau mungkin Anda tertarik dengan program magang atau kesempatan beasiswa yang tersedia? Kami senang menjawab pertanyaan Anda!"
211,Informatika di UHN IGBS punya benefit apa aja?,"Informatika membantu berbagai aktivitas sehari-hari seperti komunikasi melalui media sosial, pencarian informasi di internet, transaksi perbankan digital, pembelajaran daring, navigasi menggunakan peta digital, serta pengelolaan data. Teknologi informatika membuat pekerjaan menjadi lebih cepat, efisien, dan mudah dilakukan.",Manfaat dan Keuntungan,"Halo! Senang sekali Anda tertarik dengan Program Studi Informatika di Universitas Hindu Negeri I Gusti Bagus Sugriwa (UHN IGBS). Berikut adalah beberapa keunggulan utama yang bisa Anda dapatkan:

**Keunggulan Akademik & Fasilitas:**

*  **Biaya Kuliah Terjangkau:** Biaya UKT mulai dari Rp500.000 - Rp1.400.000 per semester, jauh lebih ringan dibanding universitas negeri lainnya.
*  **Beasiswa Melimpah:** Banyak kesempatan mendapatkan beasiswa seperti PIP dan DIPA, dengan lebih dari 1.500 mahasiswa setiap tahunnya yang berhasil meraihnya.
*  **Akreditasi Unggul:** UHN IGBS merupakan Perguruan Tinggi Kedinasan Hindu pertama di Indonesia yang memiliki akreditasi Unggul, menjamin kualitas pendidikan yang terbaik.
*  **Dosen Berkualitas:** Tim dosen yang ahli dan berdedikasi akan membimbing Anda dalam proses belajar mengajar.
*  **Pendekatan"
214,Buat Website susah kah?,"Berkuliah di Informatika akan belajar dari dasar mengenai pengembangan perangkat lunak, bahasa pemrograman, serta hal-hal lainnya. Dosen akan membimbing mahasiswa hingga menguasai materi perkuliahan. Hal yang paling diperlukan adalah kemauan dan semangat untuk belajar. Apabila mahasiswa mengalami kesulitan dapat berdiskusi dengan dosen maupun senior.",Susah tidak,"Halo! Selamat datang di Program Studi Informatika UHN I Gusti Bagus Sugriwa. Pertanyaan Anda mengenai kesulitan membuat website sangat wajar, terutama untuk mahasiswa seperti kita.

Jawabannya tidaklah sederhana. Pembuatan website bisa jadi mudah atau sulit, tergantung beberapa hal:

1. **Pengalaman sebelumnya:** Jika Anda sudah familiar dengan dasar-dasar komputer dan sedikit pemrograman, prosesnya akan lebih lancar.
2. **Kompleksitas website:** Website sederhana (misalnya profil pribadi) relatif mudah dibuat. Namun, website yang kompleks (e-commerce, sistem informasi) membutuhkan waktu dan pengetahuan lebih banyak.
3. **Teknologi yang digunakan:** Teknologi modern seperti React, Node.js, atau framework lainnya memiliki kurva belajar yang curam. Tapi, materi mata kuliah Pengembangan Web di UHN dirancang untuk membantu Anda mengatasi ini secara bertahap.
4. **Kemampuan kolaborasi:** Bekerja dalam tim dan saling"
215,Apa itu informatika? ,"Informatika di UHN Sugriwa adalah program studi yang menghasilkan lulusan yang mampu menciptakan perangkat lunak, aplikasi bidang AI, atau teknologi lainnya, atau disebut juga Lulusan bisa bekerja sebagai AI Engineer, Software Engineer, Asisten Peneliti. Sehingga bisa membantu mempermudah kehidupan atau pekerjaan masyarakat.",Profil,"Selamat datang di Program Studi Informatika Universitas Hindu Dharma Nusa (UHN) I Gusti Bagus Sugriwa! Senang sekali Anda bertanya tentang apa itu informatika.

Jawabannya sederhana namun penting: **informatika** adalah ilmu yang mempelajari bagaimana kita mengolah, menyimpan, dan mendistribusikan informasi dengan bantuan komputer. Bayangkan seperti ini: jika kita ingin membuat sebuah buku, kita butuh menulis teks, menerbitkannya, dan kemudian membagikannya kepada orang lain – begitu juga dengan informasi dalam dunia digital!

Di UHN, kami tidak hanya belajar dasar-dasar ini, tapi juga lebih jauh lagi:

1. **Membuat program komputer (perangkat lunak)** – Misalnya aplikasi untuk membantu petani lokal mengelola hasil panen atau platform e-commerce untuk UMKM Bali.
2. **Sistem cerdas (AI)** – Membuat mesin yang bisa “belajar” seperti manusia, misalnya untuk membantu deteksi dini banjir atau analisis data pariwis"
217,mata kuliah yang paling menarik,"Semua matakuliah menarik. Apabila menyukai pemrograman, maka matakuliah seperti dasar pemrograman, aplikasi berbasis platform, web programming, basis data akan sangat menarik. Apabila menyukai AI, maka matakuliah kecerdasan buatan, Machine learning akan menjadi menarik. Apabila menyukai analisis data, maka visualisasi data, analisis jejaring sosial akan sangat menarik.",Matakuliah,"Halo! Selamat datang di Program Studi Informatika UHN I Gusti Bagus Sugriwa. Senang bisa membantu Anda memilih mata kuliah yang paling menarik dari daftar tersebut.

Dari kelima mata kuliah yang disebutkan, **Bahasa Sanskerta (3 SKS)** mungkin akan menjadi pilihan yang paling unik dan berbeda untuk seorang mahasiswa Informatika. Meskipun tidak langsung terkait dengan teknologi informasi, pemahaman tentang bahasa Sanskerta dapat memberikan wawasan mendalam tentang akar budaya dan filosofi India yang sangat mempengaruhi perkembangan matematika, logika, dan ilmu komputer modern. Banyak konsep dasar dalam pemrograman dan algoritma memiliki asal-usul dalam tradisi intelektual India kuno.

**Mata kuliah lainnya juga menarik, namun dengan fokus yang lebih spesifik:**

*  **Susastera Weda (3 SKS):** Mempelajari sastra klasik Hindu yang penting bagi pemahaman konteks budaya dan spiritual.
*  **Bahasa Bali"
219,Kalau buat aplikasi? Susah tidak?,"Berkuliah di Informatika akan belajar dari dasar mengenai pengembangan perangkat lunak, bahasa pemrograman, serta hal-hal lainnya. Dosen akan membimbing mahasiswa hingga menguasai materi perkuliahan. Hal yang paling diperlukan adalah kemauan dan semangat untuk belajar. Apabila mahasiswa mengalami kesulitan dapat berdiskusi dengan dosen maupun senior.",Susah tidak,"Halo! Senang bertemu dengan Anda sebagai calon mahasiswa baru di Program Studi Informatika UHN I Gusti Bagus Sugriwa. Pertanyaan Anda sangat wajar – banyak yang merasakan hal serupa saat memulai belajar membuat aplikasi.

Memang, membuat aplikasi bisa terasa menantang di awal, tapi jangan khawatir! Di mata kuliah Rekayasa Perangkat Lunak (RPL) semester 3 ini, kita akan diajarkan langkah demi langkah untuk mengatasi tantangan tersebut. Kita akan mulai dari dasar-dasar pemrograman, lalu belajar bagaimana merancang aplikasi dengan baik, menguji coba, dan bahkan memperbaikinya jika ada masalah.

Yang paling penting, RPL mengajarkan kita berbagai cara kerja yang populer:

*  **Waterfall**: Cocok untuk proyek yang sudah pasti detailnya.
*  **Agile**: Lebih fleksibel, cocok untuk ide-ide yang masih berkembang.
*  **DevOps**: Membantu kita bekerja sama antara tim pengembang dan tim operasional"
220,Apa itu informatika? ,"Informatika di UHN Sugriwa adalah program studi yang menghasilkan lulusan yang mampu menciptakan perangkat lunak, aplikasi bidang AI, atau teknologi lainnya, atau disebut juga Lulusan bisa bekerja sebagai AI Engineer, Software Engineer, Asisten Peneliti. Sehingga bisa membantu mempermudah kehidupan atau pekerjaan masyarakat.",Profil,"Selamat datang di Program Studi Informatika Universitas Hindu Dharma Nusantara (UHDN) Ganesha! Senang sekali Anda bertanya tentang informatika.

Jawabannya sederhana saja: **informatika** adalah ilmu yang mempelajari bagaimana kita mengolah, menyimpan, dan mendistribusikan informasi menggunakan komputer. Bayangkan seperti ini: ketika Anda menggunakan aplikasi pesan instan untuk mengirim foto ke teman, atau saat bank menganalisis transaksi untuk mencegah penipuan – semua itu melibatkan prinsip-prinsip informatika!

Di UHDN Ganesha, kami tidak hanya belajar dasar-dasarnya. Kami juga fokus pada hal-hal menarik seperti:

*  **Pengembangan Aplikasi:** Menciptakan program komputer yang bermanfaat, misalnya aplikasi untuk membantu petani lokal meningkatkan hasil panen.
*  **Kecerdasan Buatan (AI):** Mengajarkan komputer “berpikir” seperti manusia, contohnya membuat chatbot yang bisa menjawab pertanyaan"
224,apa mata kuliah yang paling menarik?,"Semua matakuliah menarik. Apabila menyukai pemrograman, maka matakuliah seperti dasar pemrograman, aplikasi berbasis platform, web programming, basis data akan sangat menarik. Apabila menyukai AI, maka matakuliah kecerdasan buatan, Machine learning akan menjadi menarik. Apabila menyukai analisis data, maka visualisasi data, analisis jejaring sosial akan sangat menarik.",Matakuliah,"Halo! Selamat datang di Program Studi Informatika UHN I Gusti Bagus Sugriwa! Senang sekali Anda tertarik dengan opsi mata kuliah di semester 7 ini.

Memilih mata kuliah pilihan memang penting karena bisa menentukan fokus studi Anda selanjutnya. Berdasarkan deskripsi yang Anda berikan, mari kita lihat beberapa mata kuliah yang menarik:

1. **Pemrosesan Bahasa Alami (NLP)**: Jika Anda suka dengan teknologi yang memungkinkan komputer memahami bahasa manusia – seperti chatbot pintar atau asisten virtual – mata kuliah ini cocok untuk Anda. Bayangkan bisa membuat program yang bisa berkomunikasi dengan lebih natural!

2. **Data Science**: Untuk mereka yang ingin menjadi ahli dalam menganalisis data besar dan membuat keputusan berdasarkan fakta, mata kuliah ini sangat relevan. Di era digital ini, kemampuan ini sangat dicari di banyak industri.

3. **Digital Forensic**: Jika Anda tertarik dengan dunia keamanan siber dan penanganan kasus-kasus digital, mata kul"
225,Bagaimana cara daftar kuliah di UHN? ,"Alur Pendaftaran Calon Mahasiswa Baru
Universitas Hindu Negeri (UHN) I Gusti Bagus Sugriwa Denpasar

Pendaftaran Online
1. Calon mahasiswa mengisi formulir pendaftaran secara daring melalui laman: https://pmb-uhn.uhnsugriwa.ac.id
2. Pilih Jalur Penerimaan. Tersedia tiga jalur seleksi: Jalur Reguler, Jalur Program Indonesia Pintar Kuliah (PIPK), Jalur Prestasi/Undangan
3. Pembuatan Akun Pendaftaran: Calon mahasiswa membuat akun pada sistem pendaftaran.
4. Pembayaran: Peserta melakukan pembayaran sesuai informasi yang dikirim ke nomor WhatsApp setelah berhasil membuat akun.
5. Unggah Dokumen Persyaratan: Calon mahasiswa menyiapkan dan mengunggah dokumen yang dibutuhkan ke sistem.
6. Pengisian Data UKT: Peserta mengisi formulir Uang Kuliah Tunggal (UKT) untuk menentukan besaran biaya kuliah.
7. Mengikuti Ujian Seleksi: Peserta mengikuti ujian sesuai jadwal yang ditentukan.
8. Pengumuman Kelulusan: Peserta menunggu hasil seleksi dan pengumuman kelulusan.
9. Daftar Ulang: Peserta yang lulus melakukan proses daftar ulang untuk menjadi mahasiswa resmi.",Pendaftaran mahasiswa baru,"Selamat datang di UHN I Gusti Bagus Sugriwa! Senang sekali Anda tertarik untuk bergabung dengan Program Studi Informatika kami, terutama mengingat prestise universitas kita yang baru saja meraih akreditasi “Unggul” dari BAN-PT – sebuah pencapaian luar biasa bagi perguruan tinggi keagamaan Hindu negeri pertama di Indonesia!

Untuk mendaftarkan diri di UHN, berikut langkah-langkahnya:

1. **Persyaratan Umum**:
  - Lulusan SMA/SMK/Sederajat dengan nilai rata-rata minimal 7.5 (untuk jalur reguler).
  - Hasil UTBK/SBMPTN atau tes masuk lainnya sesuai ketentuan tahun ajaran terkini.
  - Surat Keterangan Catatan Kelakuan Baik (SKCK).

2. **Jalur Seleksi**:
  - **SNBT (Seleksi Nasional Berdasarkan Prestasi):** Untuk siswa dengan prestasi akademik dan non-akademik yang sangat baik.
  - **SBMPTN:** Jal"
